row.id,Genus_Species,altname,nametype,complex,with.data
219,Acrobasis amplexella,Acrobasis amplexella,binomial,FALSE,FALSE
220,Acrobasis angusella,Acrobasis angusella,binomial,FALSE,FALSE
221,Acrobasis angusella,Hickory Leafstem Borer Moth,english,FALSE,FALSE
222,Acrobasis angusella--ostryella,Acrobasis angusella,sp.complex,TRUE,FALSE
223,Acrobasis angusella--ostryella,Acrobasis angusella--ostryella,sp.complex,TRUE,TRUE
224,Acrobasis angusella--ostryella,Acrobasis ostryella,sp.complex,TRUE,FALSE
225,Acrobasis aurorella,Acrobasis aurorella,binomial,FALSE,FALSE
226,Acrobasis betulella,Acrobasis betulella,binomial,FALSE,FALSE
227,Acrobasis betulella,Birch Tubemaker Moth,english,FALSE,FALSE
228,Acrobasis betulivorella,Acrobasis betulivorella,binomial,FALSE,FALSE
229,Acrobasis blanchardorum,Acrobasis blanchardorum,binomial,FALSE,FALSE
230,Acrobasis caliginella,Acrobasis caliginella,binomial,FALSE,FALSE
231,Acrobasis carpinivorella,Acrobasis carpinivorella,binomial,FALSE,FALSE
232,Acrobasis caryae,Acrobasis caryae,binomial,FALSE,FALSE
233,Acrobasis caryae,Hickory Shoot Borer Moth,english,FALSE,FALSE
234,Acrobasis caryalbella,Acrobasis caryalbella,binomial,FALSE,FALSE
235,Acrobasis caryivorella,Acrobasis caryivorella,binomial,FALSE,FALSE
236,Acrobasis caryivorella,Hickory Shoot Moth,english,FALSE,FALSE
237,Acrobasis caulivorella,Acrobasis caulivorella,binomial,FALSE,FALSE
238,Acrobasis cirroferella,Acrobasis cirroferella,binomial,FALSE,FALSE
239,Acrobasis comptella,Acrobasis comptella,binomial,FALSE,FALSE
240,Acrobasis comptoniella,Acrobasis comptoniella,binomial,FALSE,FALSE
241,Acrobasis comptoniella,Sweetfern Leaf Casebearer Moth,english,FALSE,FALSE
242,Acrobasis coryliella,Acrobasis coryliella,binomial,FALSE,FALSE
243,Acrobasis cunulae,Acrobasis cunulae,binomial,FALSE,FALSE
244,Acrobasis demotella,Acrobasis demotella,binomial,FALSE,FALSE
245,Acrobasis demotella,Walnut Shoot Moth,english,FALSE,FALSE
246,Acrobasis elyi,Acrobasis elyi,binomial,FALSE,FALSE
247,Acrobasis evanescentella,Acrobasis evanescentella,binomial,FALSE,FALSE
248,Acrobasis exsulella,Acrobasis exsulella,binomial,FALSE,FALSE
249,Acrobasis exsulella,Cordovan Pyralid Moth,english,FALSE,FALSE
250,Acrobasis indigenella,Acrobasis indigenella,binomial,FALSE,FALSE
251,Acrobasis indigenella,Leaf Crumpler Moth,english,FALSE,FALSE
252,Acrobasis irrubriella,Acrobasis irrubriella,binomial,FALSE,FALSE
253,Acrobasis juglandis,Acrobasis juglandis,binomial,FALSE,FALSE
254,Acrobasis juglandis,Pecan Leaf Casebearer Moth,english,FALSE,FALSE
255,Acrobasis juglanivorella,Acrobasis juglanivorella,binomial,FALSE,FALSE
256,Acrobasis kylesi,Acrobasis kylesi,binomial,FALSE,FALSE
257,Acrobasis latifasciella,Acrobasis latifasciella,binomial,FALSE,FALSE
258,Acrobasis minimella,Acrobasis minimella,binomial,FALSE,FALSE
259,Acrobasis normella,Acrobasis normella,binomial,FALSE,FALSE
260,Acrobasis nuxvorella,Acrobasis nuxvorella,binomial,FALSE,FALSE
261,Acrobasis nuxvorella,Pecan Nut Casebearer Moth,english,FALSE,FALSE
262,Acrobasis ostryella,Acrobasis ostryella,binomial,FALSE,FALSE
263,Acrobasis pallicornella,Acrobasis pallicornella,binomial,FALSE,FALSE
264,Acrobasis palliolella,Acrobasis palliolella,binomial,FALSE,FALSE
265,Acrobasis palliolella,Mantled Acrobasis Moth,english,FALSE,FALSE
266,Acrobasis rubrifasciella,Acrobasis rubrifasciella,binomial,FALSE,FALSE
267,Acrobasis rubrifasciella,Alder Tubemaker Moth,english,FALSE,FALSE
268,Acrobasis stigmella,Acrobasis stigmella,binomial,FALSE,FALSE
269,Acrobasis suavella,Acrobasis suavella,binomial,FALSE,FALSE
270,Acrobasis sylviella,Acrobasis sylviella,binomial,FALSE,FALSE
271,Acrobasis sylviella,Ironwood Tubemaker Moth,english,FALSE,FALSE
272,Acrobasis texana,Acrobasis texana,binomial,FALSE,FALSE
273,Acrobasis tricolorella,Acrobasis tricolorella,binomial,FALSE,FALSE
274,Acrobasis tricolorella,Destructive Pruneworm Moth,english,FALSE,FALSE
275,Acrobasis tumidulella,Acrobasis tumidulella,binomial,FALSE,FALSE
276,Acrobasis vaccinii,Acrobasis vaccinii,binomial,FALSE,FALSE
277,Acrobasis vaccinii,Cranberry Fruitworm Moth,english,FALSE,FALSE
278,Acrocercops affinis,Acrocercops affinis,binomial,FALSE,FALSE
279,Acrocercops albinatella,Acrocercops albinatella,binomial,FALSE,FALSE
280,Acrocercops arbutella,Acrocercops arbutella,binomial,FALSE,FALSE
281,Acrocercops astericola,Acrocercops astericola,binomial,FALSE,FALSE
282,Acrocercops insulariella,Acrocercops insulariella,binomial,FALSE,FALSE
283,Acrocercops pnosmodiella,Acrocercops pnosmodiella,binomial,FALSE,FALSE
284,Acrocercops quinquistrigella,Acrocercops quinquistrigella,binomial,FALSE,FALSE
285,Acrocercops rhombiferellum,Acrocercops rhombiferellum,binomial,FALSE,FALSE
286,Acrocercops strigosa,Acrocercops strigosa,binomial,FALSE,FALSE
287,Acrolepiopsis assectella,Acrolepiopsis assectella,binomial,FALSE,FALSE
288,Acrolepiopsis californica,Acrolepiopsis californica,binomial,FALSE,FALSE
289,Acrolepiopsis heppneri,Acrolepiopsis heppneri,binomial,FALSE,FALSE
290,Acrolepiopsis incertella,Acrolepiopsis incertella,binomial,FALSE,FALSE
291,Acrolepiopsis incertella,Carrionflower Moth,english,FALSE,FALSE
292,Acrolepiopsis leucoscia,Acrolepiopsis leucoscia,binomial,FALSE,FALSE
293,Acrolepiopsis reticulosa,Acrolepiopsis reticulosa,binomial,FALSE,FALSE
294,Acrolophus acanthogona,Acrolophus acanthogona,binomial,FALSE,FALSE
295,Acrolophus acornus,Acrolophus acornus,binomial,FALSE,FALSE
296,Acrolophus arcanella,Acrolophus arcanella,binomial,FALSE,FALSE
297,Acrolophus arcanella,Grass Tubeworm Moth,english,FALSE,FALSE
298,Acrolophus arizonellus,Acrolophus arizonellus,binomial,FALSE,FALSE
299,Acrolophus baldufi,Acrolophus baldufi,binomial,FALSE,FALSE
300,Acrolophus bicornutus,Acrolophus bicornutus,binomial,FALSE,FALSE
301,Acrolophus chiricahuae,Acrolophus chiricahuae,binomial,FALSE,FALSE
303,Acrolophus cockerelli,Acrolophus cockerelli,binomial,FALSE,FALSE
304,Acrolophus crescentella,Acrolophus crescentella,binomial,FALSE,FALSE
305,Acrolophus cressoni,Acrolophus cressoni,binomial,FALSE,FALSE
306,Acrolophus cressoni,Cresson's Grass Tubeworm Moth,english,FALSE,FALSE
307,Acrolophus davisellus,Acrolophus davisellus,binomial,FALSE,FALSE
308,Acrolophus dorsimaculus,Acrolophus dorsimaculus,binomial,FALSE,FALSE
309,Acrolophus exaphristus,Acrolophus exaphristus,binomial,FALSE,FALSE
