"q10","q50","w10","w50","year","HEXcell","code"
126,186,118.749894815475,190.465580902726,2018,644,"RP"
121.6,192,121.603279083685,193.298586011308,2019,644,"RP"
108,192.5,118.973187321883,184.275938688157,2020,644,"RP"
116.4,240,156.268318281646,224.693973530165,2016,645,"RL"
149,208.5,143.159938031177,207.236258918234,2017,645,"RL"
154.8,228,157.903873156226,222.268983314554,2018,645,"RL"
125.4,219,150.572281585037,217.765419165645,2019,645,"RL"
150,211,150.882089393768,211.671883421682,2020,645,"RL"
110,214,136.266087180335,208.053628235003,2016,645,"RP"
131.5,211,140.046378146026,204.178985013376,2017,645,"RP"
132,211,130.198975489796,209.857842535033,2018,645,"RP"
117,208,136.426167431868,202.932979490564,2019,645,"RP"
140,204,143.009937185936,201.058968553211,2020,645,"RP"
148,221,157.804712957294,218.23031176279,2018,646,"RE"
144.7,207,141.396066565963,205.962847497109,2019,646,"RE"
155,222,160.466467117968,218.43444146323,2020,646,"RE"
210.4,236,200.562071397263,237.26191334767,2006,646,"RL"
142,192.5,133.311475045037,203.361397697428,2014,646,"RL"
155,200,146.326753637772,205.594519736017,2015,646,"RL"
127,211.5,129.847732247808,208.094008696678,2016,646,"RL"
130,208,131.367107811696,201.560023814437,2017,646,"RL"
148,217,153.838380366587,215.646296779548,2018,646,"RL"
145,218,151.35266391094,215.409601775889,2019,646,"RL"
151.3,221,157.063834570699,217.515334710943,2020,646,"RL"
124.4,204,131.771978515729,201.098691416612,2015,646,"RP"
120,213,129.63963940406,205.871137467537,2016,646,"RP"
127.2,211,136.011916916057,203.286002541414,2017,646,"RP"
152,212.5,154.678367110458,213.451462831865,2018,646,"RP"
145.8,210,147.432878278887,211.705560370054,2019,646,"RP"
149,219,151.890528862435,214.229595664883,2020,646,"RP"
161,222,161.849436915778,217.138652303196,2018,647,"RE"
165,223,161.554471790998,228.365410054728,2019,647,"RE"
153.3,221,162.083523376894,217.178222754778,2020,647,"RE"
131,194,130.742111136457,194.941442840503,2013,647,"RL"
141,194,140.896150581072,199.191074945294,2014,647,"RL"
133.5,185,118.137609849589,184.519450341874,2015,647,"RL"
145,219,144.801611015051,216.383937337379,2016,647,"RL"
133,196,128.572285138463,194.643414892284,2017,647,"RL"
157.2,215,158.747230304562,213.995837408502,2018,647,"RL"
166,236,175.012016939853,236.846150085396,2019,647,"RL"
153,222,162.024487785143,218.678583260747,2020,647,"RL"
129,173.5,113.257176480246,179.768197765622,2015,647,"RP"
144,220.5,146.304297211161,214.71248437091,2016,647,"RP"
108.5,185,110.079033762018,177.396322661741,2017,647,"RP"
152,212,152.608327503878,212.397090125362,2018,647,"RP"
152,222,156.913621509037,224.122877872856,2019,647,"RP"
152,219,158.014288200144,215.540133154967,2020,647,"RP"
140,183,119.683664583538,194.597740140806,2017,648,"RE"
151,210,139.421016013228,209.105816465477,2018,648,"RE"
147.6,213.5,143.487606703776,204.686135291182,2019,648,"RE"
150,216,153.81364114708,205.734433423072,2020,648,"RE"
184,225,172.91281711955,219.607570067507,2009,648,"RL"
142,184,139.208985548438,190.206957216427,2010,648,"RL"
155,225,155.618615569243,214.376060420146,2011,648,"RL"
146,222,151.785876900633,214.254859976263,2013,648,"RL"
144,165,124.566144085666,177.612752865486,2014,648,"RL"
136,181,116.162110435982,188.323687038948,2015,648,"RL"
148,216,141.255395648292,218.812887469775,2016,648,"RL"
139.6,190,129.317940421901,199.07775081703,2017,648,"RL"
151.3,212,147.894477808061,212.266501359479,2018,648,"RL"
146,213,144.657469066863,207.728138003316,2019,648,"RL"
144,214,146.217436768939,204.976002401859,2020,648,"RL"
145.5,209,146.519060659065,205.088978413683,2013,648,"RP"
131,160,118.452898518944,172.830399492747,2014,648,"RP"
129.6,185,117.432195591098,186.025244274112,2015,648,"RP"
119.6,205,123.437485100546,203.858676553713,2016,648,"RP"
122.2,185,117.396369902176,189.508077252413,2017,648,"RP"
125,209,134.799376922311,203.483189842722,2018,648,"RP"
139,207,139.656714858578,203.886826181038,2019,648,"RP"
142,209.5,143.023874968286,203.619491754646,2020,648,"RP"
151,218.5,156.450148525745,213.85884094398,2013,649,"RE"
145,220,152.43126800427,214.847166098834,2015,649,"RE"
153.5,227,158.981960397706,227.032602876661,2016,649,"RE"
148,216,146.973534392286,206.204939604273,2017,649,"RE"
153,221.5,162.465737584666,215.477624619957,2018,649,"RE"
145,217,151.147934370905,210.378455699429,2019,649,"RE"
150,216,151.67991648985,204.617698883043,2020,649,"RE"
174,199,164.714286553927,201.377484619331,2007,649,"RL"
