"q10","q50","w10","w50","year","HEXcell","code"
122,162,121.512376009864,176.036467516826,2017,676,"RE"
141,223,140.897408146231,212.472509119408,2018,676,"RE"
138,217,143.904833158033,207.536438133574,2019,676,"RE"
150,219,158.012918420893,203.391649329413,2020,676,"RE"
227,243,210.44379104283,247.623853226433,2012,676,"RL"
192,213,180.048357061959,213.349603030593,2013,676,"RL"
130,221,153.401304119896,209.90466525894,2014,676,"RL"
157,234,150.724960218235,211.913154140748,2015,676,"RL"
140,193,121.255064455242,192.033745851598,2016,676,"RL"
122,162,120.994192803612,177.560237621035,2017,676,"RL"
141,223,145.171294654001,215.653602617983,2018,676,"RL"
137,216,139.646815971628,205.985941234831,2019,676,"RL"
147,218,152.285140186745,201.556260180535,2020,676,"RL"
204,247,191.698531342894,240.448267520004,2012,676,"RP"
104,206,137.786618754317,195.117226927245,2013,676,"RP"
122,221,137.347836956196,198.848531378163,2014,676,"RP"
132.6,234,143.006799388428,205.212636016974,2015,676,"RP"
114,199,117.066538370191,189.954836426091,2016,676,"RP"
106,160,108.284972436717,168.448457036489,2017,676,"RP"
141,223,142.497933310808,213.059532128085,2018,676,"RP"
135,212,137.082758490921,200.84728651955,2019,676,"RP"
144,214,145.478400151282,198.263635385275,2020,676,"RP"
124,137,97.1978661614886,161.348572939381,2012,702,"RL"
119,216,163.636548670586,213.59163026321,2013,702,"RL"
148,206,148.922703452007,204.052412349946,2014,702,"RL"
117,179,122.976687771079,187.281474502684,2015,702,"RL"
120,178,109.266588085485,175.746958391232,2016,702,"RL"
118,161,107.651603485484,178.502457734129,2017,702,"RL"
128,140,103.486180505409,159.809003687706,2018,702,"RL"
120,154,117.371103212099,181.973898102393,2019,702,"RL"
136,217,130.742119915754,193.731416351964,2020,702,"RL"
127,148,103.261250242609,171.64144328156,2012,702,"RP"
103,119,91.5628857883006,160.515938514411,2013,702,"RP"
110,201,136.415531575618,193.381220992446,2014,702,"RP"
102,171,96.7177690551409,167.089902914384,2015,702,"RP"
106,169,95.3836575480257,165.765369650454,2016,702,"RP"
101,150,91.7543847208176,165.106176024001,2017,702,"RP"
122.4,167,110.243558151232,173.058784841518,2018,702,"RP"
117,188,118.524857865922,178.713709765497,2019,702,"RP"
128,217,138.45982016567,199.416089292847,2020,702,"RP"
124,221,147.148185578339,212.138675380956,2019,703,"RE"
123,135,91.8784059489236,163.485185421111,2020,703,"RE"
234,234,198.992593146947,237.509280124126,2015,703,"RL"
114,220,162.108624099053,208.690219582554,2016,703,"RL"
88,88,53.1464547739942,106.474590088857,2017,703,"RL"
116.5,225,164.133204799487,214.972323146405,2018,703,"RL"
124,221,149.99357523537,213.616402340768,2019,703,"RL"
122,137,94.0513668394962,166.45794757505,2020,703,"RL"
101,234,115.893889945284,204.576361974458,2015,703,"RP"
114,220,129.594869780994,196.930806695989,2016,703,"RP"
76.3,98,47.8455889253865,105.829382318393,2017,703,"RP"
112,224,153.823348936601,209.30632983144,2018,703,"RP"
121,212,135.713123721994,202.323283617658,2019,703,"RP"
98,138,92.280777683596,165.106641601166,2020,703,"RP"
130,195,133.811253025247,190.202417425839,2013,736,"RL"
151,192,144.80680200487,194.733374639014,2014,736,"RL"
144,206,152.59899370414,206.003308557675,2015,736,"RL"
136,231,145.102510065449,210.345082141991,2016,736,"RL"
158,202,145.476969890768,207.637591091453,2017,736,"RL"
151,212,151.135083127282,199.835665742396,2018,736,"RL"
151.1,213,154.357584058472,212.753964626521,2019,736,"RL"
137,166,122.422382055013,174.080529903717,2020,736,"RL"
126,175,118.224437524925,175.688915544702,2013,736,"RP"
154,195,150.919157006695,198.443419968152,2014,736,"RP"
127,201,122.430302662791,185.198462037305,2015,736,"RP"
130,164,113.995188280383,181.819000507753,2016,736,"RP"
113,199,120.79702293399,190.405370138327,2017,736,"RP"
140,211,138.847593109059,192.393486146257,2018,736,"RP"
124,158,106.688978221548,167.424007991894,2020,736,"RP"
