"q10","q50","w10","w50","year","HEXcell","code"
147,179,133.674611962362,186.831046535576,2012,566,"RL"
154.2,189,143.132921560095,195.20510218284,2013,566,"RL"
158,193,148.803346511928,198.85919652243,2014,566,"RL"
149.1,186,141.33442068425,192.190093161308,2015,566,"RL"
152,176,133.604354247024,186.732722562117,2016,566,"RL"
158,184,138.404559553895,195.055584796675,2017,566,"RL"
159,190,145.02328512092,195.745495579528,2018,566,"RL"
169,197,155.679849361822,204.83376116575,2019,566,"RL"
158,183,143.574622066677,187.9926448802,2020,566,"RL"
128,180,121.469537832947,176.060250597979,2012,566,"RP"
136,185,124.942343366432,180.468619556255,2013,566,"RP"
138.8,186,136.128435183785,185.609031651971,2014,566,"RP"
126.3,182,121.320820835427,176.906094976908,2015,566,"RP"
131,157,111.757599099649,170.366229000359,2016,566,"RP"
127.7,160,112.515030470217,172.179250208528,2017,566,"RP"
137,182,128.291034293291,186.693889046033,2018,566,"RP"
147,198,143.534694975894,199.502884285845,2019,566,"RP"
144,170,129.287744976877,177.31320885783,2020,566,"RP"
189,230,188.074408550804,216.867790010247,2002,567,"RE"
154.7,176.5,138.766056987477,183.536817184978,2015,567,"RE"
163.4,177,138.815315247368,184.339350866422,2017,567,"RE"
167,184,152.118935735865,184.803592598975,2019,567,"RE"
158,177,148.888961952019,179.908547595265,2020,567,"RE"
165,230,176.235806320578,212.598974859924,2002,567,"RL"
163,189,139.556413526977,205.883216539828,2005,567,"RL"
150,170,128.718104648727,181.561917077919,2008,567,"RL"
159,209,148.181819222051,207.176960773905,2011,567,"RL"
147,194,140.091058421967,198.018155295434,2012,567,"RL"
153.3,202,145.507537633115,201.631683838824,2013,567,"RL"
158,199,150.556960551148,202.764441558316,2014,567,"RL"
155,181,137.076761924597,193.149917580509,2015,567,"RL"
154,186,140.139897360461,197.212336716967,2016,567,"RL"
161,190,144.187341036061,200.592376708219,2017,567,"RL"
160,195,147.357441789139,200.711758693131,2018,567,"RL"
170,204,156.933294804857,210.871398643871,2019,567,"RL"
159,191,146.599471087973,201.230762135919,2020,567,"RL"
161,189,142.72142997819,186.705387095395,2002,567,"RP"
143.4,200,135.099317056656,194.682815946551,2012,567,"RP"
154,207.5,152.840857796258,203.086650720536,2013,567,"RP"
149,190,137.694783527144,191.567985066586,2014,567,"RP"
145.8,186,136.339491873378,190.383344952394,2015,567,"RP"
146,186,135.261745086046,191.942476988031,2016,567,"RP"
144.3,178,132.548237583151,188.524595138077,2017,567,"RP"
144,194,137.885783586619,192.800318051026,2018,567,"RP"
148,194,140.027842318865,197.780255730065,2019,567,"RP"
142,179,128.483749093781,185.444856686079,2020,567,"RP"
160.5,178,145.814353974411,186.134036634949,2013,568,"RL"
166,188,154.560938337458,197.76017405884,2014,568,"RL"
168,192,153.880203587022,208.089436493652,2015,568,"RL"
154,183,145.03000092516,185.947842816641,2016,568,"RL"
166,183.5,141.440438733825,201.187834443053,2017,568,"RL"
163.7,199,153.770514093427,199.643648761234,2018,568,"RL"
